Channel_LID_IPTV,Name,Channel_ID,Prodaction_Status,Main_Source _Multicast,Streamer_IN_Multicast,Streamer_OUT
171,Plan_B,1014,YES,226.0.1.154:10154,226.0.1.154:10154,233.3.5.138:5138
172,History,640,YES,226.0.1.183:10183,228.141.1.71:7145,233.3.4.173:4173
172,History,1110,YES,226.0.1.183:10183,228.141.1.71:7145,233.3.5.190:5190
173,Jivi,579,YES,226.0.5.101:30101,228.144.1.77:7718,233.3.4.147:4147
173,Jivi,391,YES,226.0.5.101:30101,226.0.5.101:30101,233.3.3.211:3211
174,Nostalgia_SRT_reserve,961,NO,225.0.7.131:10131,225.0.7.131:10131,233.3.4.177:4177
175,Kinoujas,494,YES,226.0.1.165:10165,228.142.1.73:7315,233.3.4.66:4066
175,Kinoujas,222,YES,226.0.1.165:10165,226.0.1.165:10165,233.3.3.56:3056
176,Orujie,886,YES,226.0.1.146:10146,226.0.1.146:10146,233.3.3.76:3076
176,Orujie,1111,YES,226.0.1.146:10146,228.144.1.77:7729,233.3.5.191:5191
178,HD_Life,758,YES,226.0.3.133:10133,226.0.3.133:10133,233.3.3.8:3008
179,Nauka,730,YES,226.0.3.180:10180,228.142.1.73:7321,233.3.4.5:4005
179,Nauka,1112,YES,226.0.3.180:10180,228.142.1.73:7321,233.3.5.192:5192
180,IlionTV,623,NO,237.7.7.29:17029,237.7.7.29:17029,233.3.4.209:4209
181,KVN_TV,833,YES,226.0.1.148:10148,228.144.1.77:7754,233.3.4.141:4141
181,KVN_TV,800,YES,226.0.1.148:10148,225.0.7.116:10116,233.3.3.28:3028
183,Mezzo,459,YES,226.0.1.191:30191,228.142.1.73:7311,233.3.4.31:4031
183,Mezzo,1113,YES,226.0.1.191:30191,228.142.1.73:7311,233.3.5.193:5193
184,MCM_Top,473,YES,226.0.1.175:10175,228.143.1.75:7535,233.3.4.45:4045
184,MCM_Top,280,YES,226.0.1.175:10175,226.0.1.175:10175,233.3.3.111:3111
185,Kvartal_95,1049,YES,225.0.4.245:20245,225.0.4.245:20245,233.3.3.151:3151
185,Kvartal_95,1114,YES,225.0.4.245:20245,228.142.1.73:7349,233.3.5.194:5194
186,Vostok_TV,830,YES,226.0.3.135:10135,226.0.3.135:10135,233.3.4.80:4080
186,Vostok_TV,934,YES,226.0.3.135:10135,227.142.1.73:7329,233.3.4.89:4089
188,Music_Box,1115,YES,237.7.7.115:17115,237.7.7.115:17115,233.3.5.195:5195
188,Music_Box,470,YES,237.7.7.115:17115,237.7.7.115:17115,233.3.4.42:4042
189,Ru_TV,628,YES,225.0.4.17:10017,228.142.1.73:7302,233.3.4.214:4214
189,Ru_TV,892,YES,225.0.4.17:10017,225.0.4.17:10017,233.3.5.243:5243
190,La_Minor,790,YES,226.0.1.187:10187,228.142.1.73:7314,233.3.3.32:3032
190,La_Minor,557,YES,226.0.1.187:10187,226.0.1.187:10187,233.3.4.126:4126
191,M1,564,YES,225.0.4.154:10154,225.0.4.154:10154,233.3.3.250:3250
192,M2,789,YES,225.0.4.155:10155,225.0.4.155:10155,233.3.3.31:3031
193,FreeDOM,1116,YES,226.0.1.160:10160,228.141.1.71:7117,233.3.5.196:5196
193,FreeDOM,912,YES,226.0.1.160:10160,226.0.1.160:10160,233.3.5.62:5062
